,,,,,,,,
14899,2015-02-20,2016-02-20,,,,,,
15203,2015-05-05,2015-11-05,,,,,,
15239,2015-05-14,2015-11-14,,,,,,
15282,2015-05-23,2015-11-23,,,,,,
15310,2015-06-02,2015-12-02,,,,,,
15313,2015-06-02,2015-12-02,,,,,,
15343,2015-06-12,2015-12-12,,,,,,
15356,2015-06-17,2015-12-17,,,,,,
15367,2015-06-19,2015-12-19,,,,,,
15373,2015-06-22,2015-12-22,,,,,,
15377,2015-06-22,2015-12-22,,,,,,
15425,2015-07-03,2016-07-03,,,,,,
15464,2015-07-20,2016-07-20,,,,,,
15503,2015-07-29,2016-01-29,,,,,,
15506,2015-07-29,2016-01-29,,,,,,
15510,2015-07-30,2016-07-30,,,,,,
15518,2015-08-01,2016-02-01,,,,,,
15523,2015-08-03,2016-02-03,,,,,,
15524,2015-08-04,2016-02-04,,,,,,
15566,2015-08-19,2016-02-19,,,,,,
15581,2015-08-24,2016-02-24,,,,,,
15589,2015-08-26,2016-02-26,,,,,,
15638,2015-09-12,2016-03-12,,,,,,
15640,2015-09-14,2016-03-14,,,,,,
15645,2015-09-16,2016-09-16,,,,,,
15656,2015-09-19,2016-03-19,,,,,,
15676,2015-09-28,2016-09-28,,,,,,
15706,2015-09-30,2016-03-30,,,,,,
15707,2015-10-01,2016-10-01,,,,,,
15708,2015-10-01,2016-10-01,,,,,,
15718,2015-10-05,2016-04-05,,,,,,
15724,2015-10-08,2016-04-08,,,,,,
15733,2015-10-13,2016-04-13,,,,,,
15743,2015-10-14,2016-04-14,,,,,,
15752,2015-10-17,2016-04-17,,,,,,
15791,2015-10-29,2016-04-29,,,,,,
15816,2015-11-06,2016-05-06,,,,,,
15819,2015-11-06,2016-05-06,,,,,,
15820,2015-11-06,2016-05-06,,,,,,
15845,2015-11-16,2016-05-16,,,,,,
15863,2015-11-24,2016-11-24,,,,,,
15879,2015-11-27,2016-05-27,,,,,,
15884,2015-11-30,2016-11-30,,,,,,
15904,2015-12-04,2016-06-04,,,,,,
15908,2015-12-05,2016-06-05,,,,,,
15914,2015-12-07,2016-06-07,,,,,,
15923,2015-12-09,2016-12-09,,,,,,
15929,2015-12-11,2016-06-11,,,,,,
15947,2015-12-17,2016-12-17,,,,,,
15948,2015-12-17,2016-06-17,,,,,,
15951,2015-12-18,2016-12-18,,,,,,
15958,2015-12-19,2016-06-19,,,,,,
15968,2015-12-21,2016-12-21,,,,,,
15975,2015-12-22,2016-12-22,,,,,,
15985,2015-12-26,2016-06-26,,,,,,
15992,2015-12-28,2016-06-28,,,,,,
15993,2015-12-28,2016-06-28,,,,,,
16000,2015-12-29,2016-06-29,,,,,,
16001,2015-12-29,2016-06-29,,,,,,
16005,2015-12-29,2016-06-29,,,,,,
16006,2015-12-29,2016-06-29,,,,,,
16010,2015-12-30,2016-06-30,,,,,,
16011,2015-12-30,2016-06-30,,,,,,
16018,2015-12-31,2016-06-30,,,,,,
16021,2015-12-31,2016-06-30,,,,,,
16022,2015-12-31,2016-06-30,,,,,,
16026,2016-01-02,2016-07-02,,,,,,
16031,2016-01-04,2016-07-04,,,,,,
16032,2016-01-04,2016-07-04,,,,,,
16034,2016-01-04,2016-07-04,,,,,,
16036,2016-01-04,2016-07-04,,,,,,
16040,2016-01-05,2016-07-05,,,,,,
16041,2016-01-05,2016-07-05,,,,,,
16047,2016-01-05,2016-07-05,,,,,,
16050,2016-01-06,2016-07-06,,,,,,
